MJD,m,dm,F,source_name,RA,DEC
57904.464464,18.01,4.343,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57904.482464,20.323,34.113,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57907.433997,20.812,1.659,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57907.466983,20.271,24.603,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57908.412088,19.927,11.041,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57908.435067,17.755,3.318,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57908.468219,19.974,23.867,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57911.435806,20.647,2.261,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57911.455235,20.582,23.673,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57912.411511,19.647,5.318,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57912.433182,21.568,14.231,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57912.466204,21.706,14.441,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57913.428481,21.247,2.455,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57913.448166,23.36,16.833,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57914.434196,22.273,4.931,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57915.466601,22.665,24.357,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57915.472098,19.418,1.436,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57916.406029,21.207,42.123,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57916.438985,22.219,7.76,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57917.436311,21.829,3.3,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57917.439458,20.035,0.635,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57926.389829,22.024,2.564,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57926.405025,22.096,2.481,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57928.387054,23.389,15.556,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57928.398303,21.703,5.78,o,152942.19+350851.3,232.4258318203353,35.14758608779926
